Xtrue.m,Z.m,v.cmd,Direction.TN
12,4.069509158,8.15,207.4
12,4.221909158,7.36,205.9
12,3.266631821,9.19,166
12,3.419031821,16.57,212.3
12,3.571431821,12.9,189.2
12,3.723831821,25.11,222.2
12,3.876231821,13.89,246.5
12,4.028631821,10.27,200.6
12,4.181031821,18.98,190.5
12,2.337601421,7.23,176.8
12,2.490001421,21.72,166.8
12,2.642401421,45.76,171.9
12,2.794801421,31.23,176.9
12,2.947201421,27.18,208.1
12,3.099601421,47.31,203.4
12,3.252001421,48.28,225.3
12,2.263278989,15.16,167
12,2.415678989,22.8,178.5
12,2.568078989,38.73,171.8
12,2.720478989,92.57,172.3
12,2.872878989,35.56,172.7
12,3.025278989,71.32,200.7
12,3.177678989,62.25,195
13,3.292790976,18.58,176
13,3.445190976,15.4,256.9
13,3.597590976,11.52,222.4
13,3.749990976,8.98,214.9
13,3.902390976,9.97,195.8
13,4.054790976,21.25,195.3
13,4.207190976,13.65,233.8
13,3.212894362,65.13,224.8
13,3.365294362,50.42,195
13,3.517694362,23.89,251.4
13,3.670094362,13.94,209.6
13,3.822494362,25.64,185.1
13,3.974894362,19.09,236.7
13,4.127294362,19.23,236.7
13,2.289438144,19.5,177.7
13,2.441838144,10.71,218.7
13,2.594238144,20.36,193.8
13,2.746638144,15.1,215.1
13,2.899038144,54.41,205
13,3.051438144,18.28,238.8
13,3.203838144,20.21,238.8
13,2.198393165,37.12,252.1
13,2.350793165,35.48,252.1
13,2.503193165,5.64,244.6
13,2.655593165,8.79,247.8
13,2.807993165,35.18,231.1
13,2.960393165,38.18,217.1
13,3.112793165,47.39,181.7
14,3.308323584,16.09,176.4
14,3.460723584,19.58,171.9
14,3.613123584,18.27,172.5
14,3.765523584,10.13,198.8
14,3.917923584,9.78,199.1
14,4.070323584,7.12,254.4
14,4.222723584,8.85,193.6
14,3.248865638,7.93,188.1
14,3.401265638,11.92,195.9
14,3.553665638,13.04,203.7
14,3.706065638,12.17,199.3
14,3.858465638,48.94,195
14,4.010865638,15.92,195
14,4.163265638,4.15,195
14,2.329125542,12.52,253.2
14,2.481525542,22.52,237.5
14,2.633925542,4.93,221.8
14,2.786325542,20.28,255.4
14,2.938725542,4.21,222.2
14,3.091125542,15.44,205.3
14,3.243525542,9.63,168
14,2.249228928,26.18,194.7
14,2.401628928,13.76,194.7
14,2.554028928,16.59,237.7
14,2.706428928,13.15,180.5
14,2.858828928,11.86,181
14,3.011228928,17.29,181.4
14,3.163628928,29.89,180.1
15,3.08811168,16.77,170.6
15,3.24051168,11.99,219
15,3.39291168,13.55,189.3
15,3.54531168,15.68,191.2
15,3.69771168,16.44,215.6
15,3.85011168,23.99,179.4
15,4.00251168,18.46,171.1
15,2.989634458,13.35,225.4
15,3.142034458,20.11,199.9
15,3.294434458,20.07,187.9
15,3.446834458,28.9,171.8
15,3.599234458,23.44,188.4
15,3.751634458,84.09,172.4
15,3.904034458,42.98,200.2
15,2.056887936,37.64,183.8
15,2.209287936,23.95,210.6
15,2.361687936,41.42,213.2
15,2.514087936,8.1,223.5
15,2.666487936,8.53,233.9
15,2.818887936,40.58,167.9
15,2.971287936,19.49,166
15,1.986281626,43.44,177.9
15,2.138681626,33.55,198.5
15,2.291081626,35.04,199.9
15,2.443481626,58.39,233.7
15,2.595881626,18.84,218.5
15,2.748281626,8.98,208.2
15,2.900681626,56.66,166
